Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Al Tabaq Al Zahabi Restaurant,"Opp New Etisalat Building, Near Al Ghubaiba Bus Stn, Bur Dubai",Dubai,,04-3933812,055-9501917,https://www.yellowpages-uae.com/uae/restaurant/al-tabaq-al-zahabi-restaurant-172957.html,
Al Taher Restaurant,Corniche Rd,Ajman,4683,06-7473569,,https://www.yellowpages-uae.com/uae/restaurant/al-taher-restaurant-126528.html,
Al Tahi Al Arabic Restaurant LLC,Sahara Mall,Sharjah,,06-5251919,,https://www.yellowpages-uae.com/uae/restaurant/al-tahi-al-arabic-restaurant-llc-151065.html,
Al Taiba Restaurant,"Bhnd Pic & Save S/Market, King Faisal Rd",Sharjah,4427,06-5598255,,https://www.yellowpages-uae.com/uae/restaurant/al-taiba-restaurant-136803.html,
Al Taj Restaurant,"Al Baraha, Deira",Dubai,251792,04-2711273,,https://www.yellowpages-uae.com/uae/restaurant/al-taj-restaurant-126161.html,
Al Tannour,"Crowne Plaza, Sh zayed road",Dubai,,04-3311111,,https://www.yellowpages-uae.com/uae/restaurant/al-tannour-67642.html,
Al Tasamoh Kitchen and Mandi Rest,"Damascus Rd, Al Qusais",Dubai,48600,04-2676622,,https://www.yellowpages-uae.com/uae/restaurant/al-tasamoh-kitchen-and-mandi-rest-121346.html,
Al Thahabi Cafeteria,,Sharjah,,06-5650164,,https://www.yellowpages-uae.com/uae/restaurant/al-thahabi-cafeteria-148302.html,
Al Wafa Restaurant,Al Rashidiya 1,Ajman,1175,06-7408413,,https://www.yellowpages-uae.com/uae/restaurant/al-wafa-restaurant-116126.html,
Al Waha International,Qasar Al Sarab Desert Resort,Abu Dhabi,,02-8862088,,https://www.yellowpages-uae.com/uae/restaurant/al-waha-international-175667.html,
Al Wakra Restaurant,"Opp Sana Fashions, Al Qassimia Rd",Sharjah,63609,06-5396960,,https://www.yellowpages-uae.com/uae/restaurant/al-wakra-restaurant-118481.html,
Al Waqqas Restaurant,"Opp Taxi Stand, Bur Dubai",Dubai,52681,04-3933612,050-2082898,https://www.yellowpages-uae.com/uae/restaurant/al-waqqas-restaurant-172958.html,
Al Yasmeen Al Shami Restaurant,"Near Hilal Bank, Abdul Aziz Rd",Sharjah,,06-5482240,,https://www.yellowpages-uae.com/uae/restaurant/al-yasmeen-al-shami-restaurant-147386.html,
Al Yemen Mandi Restaurant,Abu Hail,Dubai,,04-2662207,,https://www.yellowpages-uae.com/uae/restaurant/al-yemen-mandi-restaurant-175347.html,
Al Zad Restaurant,"Damascus Street, Al Qusais",Dubai,,04-2635470,056-8608155,https://www.yellowpages-uae.com/uae/restaurant/al-zad-restaurant-175492.html,
Al Zahra Walandaleeb Rest,Deira,Dubai,29688,04-2221422,,https://www.yellowpages-uae.com/uae/restaurant/al-zahra-walandaleeb-rest-135708.html,
Al Zanjabeel Fast Food,King Faisal Street,Sharjah,,06-5448817,,https://www.yellowpages-uae.com/uae/restaurant/al-zanjabeel-fast-food-148181.html,
Allures Coffees,"Oaks Liwa Heights Hotel, JLT",Dubai,,04-4363434,,https://www.yellowpages-uae.com/uae/restaurant/allures-coffees-67643.html,
Almanhal Restaurant & Cafeteria LLC,"Al Zahra St, Nasseriya",Sharjah,,06-5655253,,https://www.yellowpages-uae.com/uae/restaurant/almanhal-restaurant-cafeteria-llc-148013.html,
Almaz By Momo,Mall of The Emirates,Dubai,,04-4098877,,https://www.yellowpages-uae.com/uae/restaurant/almaz-by-momo-175791.html,
Alpha Restaurant,Al Manakh,Sharjah,73116,055-7700860,055-7702400,https://www.yellowpages-uae.com/uae/restaurant/alpha-restaurant-175369.html,
Alrabee Alshami Bakeries,"King Faisal Rd, Al Qasimiyah",Sharjah,,06-5756700,,https://www.yellowpages-uae.com/uae/restaurant/alrabee-alshami-bakeries-175274.html,
Alto Mar,Jumeirah Fishing Harbour,Dubai,,04-3435225,,https://www.yellowpages-uae.com/uae/restaurant/alto-mar-175792.html,
Amala - Jumeirah Zabeel Saray,"Right Wing, Jumeirah Zabeel Saray, Palm Jumeirah",Dubai,,04-4530000,,https://www.yellowpages-uae.com/uae/restaurant/amala-jumeirah-zabeel-saray-175793.html,
Amani Pizza,"Beside KM Trading, Salam Street",Abu Dhabi,,02-4488612,055-2778844,https://www.yellowpages-uae.com/uae/restaurant/amani-pizza-175510.html,
Amassi International Cuisine and Lounge,Khalidiya,Abu Dhabi,37747,02-6810099,,https://www.yellowpages-uae.com/uae/restaurant/amassi-international-cuisine-and-lounge-133440.html,
Amrutha Restaurant,"Opp Adcb, Mana Rd, Rolla",Sharjah,21677,06-5325355,,https://www.yellowpages-uae.com/uae/restaurant/amrutha-restaurant-115932.html,
Amwaj Seafood,Baniyas Island,Abu Dhabi,,02-8015400,,https://www.yellowpages-uae.com/uae/restaurant/amwaj-seafood-175668.html,
Anar,Souk Madinat,Dubai,,04-3686505,,https://www.yellowpages-uae.com/uae/restaurant/anar-175794.html,
Angar,"Yas Viceroy, Yas Island",Abu Dhabi,,02-6560760,,https://www.yellowpages-uae.com/uae/restaurant/angar-175669.html,
Anjappar Authentic Chettinad Restaurant,"Behind Commercial Bank Of Dubai, Khalidiya",Abu Dhabi,37658,02-6667763,,https://www.yellowpages-uae.com/uae/restaurant/anjappar-authentic-chettinad-restaurant-140480.html,
Anjappar Chettinad Restaurant LLC,"Al Murjan Tower, Near Carrefour, Al Nahda",Dubai,,04-2578773,,https://www.yellowpages-uae.com/uae/restaurant/anjappar-chettinad-restaurant-llc-105434.html,
Annam Restaurant,Salam St,Abu Dhabi,126587,02-6436088,,https://www.yellowpages-uae.com/uae/restaurant/annam-restaurant-150959.html,
Ansari Group of Company,"King Abdul Aziz Street, Al Qasimia",Sharjah,,06-8859635,050-6789325,https://www.yellowpages-uae.com/uae/restaurant/ansari-group-of-company-181475.html,
Antar Cafeteria,Jumeirah 4,Dubai,,04-3955722,,https://www.yellowpages-uae.com/uae/restaurant/antar-cafeteria-145119.html,
Anwar Restaurant,Hili,Al Ain,1676,03-7845811,,https://www.yellowpages-uae.com/uae/restaurant/anwar-restaurant-115078.html,
Apple Cafe and Restaurant,"3rd Flr, Twin Towers, Baniyas Rd, Deira",Dubai,42714,04-2274446,,https://www.yellowpages-uae.com/uae/restaurant/apple-cafe-and-restaurant-130753.html,
Arab Island Restaurant,Hor Al Anz,Dubai,,04-2621212,,https://www.yellowpages-uae.com/uae/restaurant/arab-island-restaurant-103507.html,
Arab Tower Restaurant,Umm Al Nar,Abu Dhabi,8879,02-5583738,,https://www.yellowpages-uae.com/uae/restaurant/arab-tower-restaurant-126538.html,
Arabian Fome Restaurant & Cafeteria,Al Quoz,Dubai,,04-3388980,,https://www.yellowpages-uae.com/uae/restaurant/arabian-fome-restaurant-cafeteria-145501.html,
Arabian House Restaurant,,Abu Dhabi,,02-4450949,,https://www.yellowpages-uae.com/uae/restaurant/arabian-house-restaurant-145636.html,
Arabian Seashell Cafeteria,"Beach Road, Jumeirah 3",Dubai,,04-3942886,,https://www.yellowpages-uae.com/uae/restaurant/arabian-seashell-cafeteria-146796.html,
Arman Cafe,"G Floor, Al Maktoum St, Dubai Corniche Hotel & Residence, Al Maktoum St, Deira",Dubai,181858,04-2292983,,https://www.yellowpages-uae.com/uae/restaurant/arman-cafe-144052.html,
Aroma Garden Caffe,"Al Amri Bldg, Oud Metha Rd, Karama",Dubai,30651,04-3368999,,https://www.yellowpages-uae.com/uae/restaurant/aroma-garden-caffe-129758.html,
Aroma Spicy Restaurant,"Behind Eldorado Cinemas, Electra Street",Abu Dhabi,,02-6770064,050-4795683,https://www.yellowpages-uae.com/uae/restaurant/aroma-spicy-restaurant-175533.html,
Arous Al Wadi Restaurant,Al Nahda,Sharjah,,06-5363600,,https://www.yellowpages-uae.com/uae/restaurant/arous-al-wadi-restaurant-148067.html,
Arrows & Sparrows Cafe,"Emaar Business Park, The Greens",Dubai,,04-5588141,,https://www.yellowpages-uae.com/uae/restaurant/arrows-sparrows-cafe-175743.html,
Art House Cafe,"Eitihad Modern Art Galley, Al Bateen",Abu Dhabi,,02-4182466,,https://www.yellowpages-uae.com/uae/restaurant/art-house-cafe-175610.html,
Arya Bhavan Restaurant,Al Falah St,Abu Dhabi,,02-4450909,,https://www.yellowpages-uae.com/uae/restaurant/arya-bhavan-restaurant-145334.html,
Asfar Restaurant & Coffee Shop,,Abu Dhabi,,02-6422217,,https://www.yellowpages-uae.com/uae/restaurant/asfar-restaurant-coffee-shop-145300.html,
Ashbilia Restaurant,Karama,Dubai,50080,04-3969726,,https://www.yellowpages-uae.com/uae/restaurant/ashbilia-restaurant-112899.html,
Ashrafi Restaurant,"Near Cargo Village, Airport Rd",Dubai,60825,04-2821718,,https://www.yellowpages-uae.com/uae/restaurant/ashrafi-restaurant-121551.html,
Asia De Cuba,Corniche Road,Abu Dhabi,,02-6993333,,https://www.yellowpages-uae.com/uae/restaurant/asia-de-cuba-175670.html,
Asian Palace Sharjah Restaurant,"Mubarak Centre, Al Aroba St",Sharjah,,06-5233505,,https://www.yellowpages-uae.com/uae/restaurant/asian-palace-sharjah-restaurant-110163.html,
Assia In Work,"The Res Tower 1, Burj Dubai",Dubai,184512,04-4205225,,https://www.yellowpages-uae.com/uae/restaurant/assia-in-work-121797.html,
Atayab Public Kitchen and Restaurant,Dibba Wasit,Dibba,11757,09-2443644,,https://www.yellowpages-uae.com/uae/restaurant/atayab-public-kitchen-and-restaurant-59241.html,
Atayeb,"Yas Viceroy, Yas Island",Abu Dhabi,,02-6560000,,https://www.yellowpages-uae.com/uae/restaurant/atayeb-175671.html,
Atelier M,Dubai Marina,Dubai,,04-4507766,,https://www.yellowpages-uae.com/uae/restaurant/atelier-m-175795.html,
Athena Greek Cuisine,Abu Dhabi Mall,Abu Dhabi,53128,02-6450060,,https://www.yellowpages-uae.com/uae/restaurant/athena-greek-cuisine-145301.html,
Automatic Restaurant & Grill,"Near ADCB, Corniche Rd",Sharjah,28977,06-5741222,,https://www.yellowpages-uae.com/uae/restaurant/automatic-restaurant-and-grill-105246.html,
Avani Restaurant LLC,"Al Dana Centre, Arjaan Food Court, Karama",Dubai,44056,04-2989142,,https://www.yellowpages-uae.com/uae/restaurant/avani-restaurant-llc-142518.html,
Avasa Restaurant,Saadiyat Island,Abu Dhabi,,02-6742221,,https://www.yellowpages-uae.com/uae/restaurant/avasa-restaurant-175672.html,
Avon Restaurant,"Gold Souq, Deira",Dubai,,04-2251827,,https://www.yellowpages-uae.com/uae/restaurant/avon-restaurant-143133.html,
Awtar Restaurant,TCA,Abu Dhabi,4832,02-6441551,,https://www.yellowpages-uae.com/uae/restaurant/awtar-restaurant-133511.html,
Aysha Restaurant,"Street 33C, Al Mussalla Road, Bur Dubai",Dubai,,04-3525315,052-8221486,https://www.yellowpages-uae.com/uae/restaurant/aysha-restaurant-172959.html,
Bab Al Yemen Mandi Restaurant,,Dubai,,04-2558787,052-1131120,https://www.yellowpages-uae.com/uae/restaurant/bab-al-yemen-mandi-restaurant-175326.html,
Bab Deira Restaurant,Abu Shagara Park,Sharjah,,06-5344765,052-9132220,https://www.yellowpages-uae.com/uae/restaurant/bab-deira-restaurant-175371.html,
Bagatelle,"Farimont Hotel, Shk Zayed Road",Dubai,,04-3545035,,https://www.yellowpages-uae.com/uae/restaurant/bagatelle-175796.html,
Baguette,Khalifa St,Abu Dhabi,27363,02-6276442,,https://www.yellowpages-uae.com/uae/restaurant/baguette-142513.html,
Baguette Cafe and Restaurant,Corniche,Abu Dhabi,2698,02-6273100,,https://www.yellowpages-uae.com/uae/restaurant/baguette-cafe-and-restaurant-136184.html,
Bait Al Kanafa Restaurant,Deira,Dubai,,04-2689900,052-2125599,https://www.yellowpages-uae.com/uae/restaurant/bait-al-kanafa-restaurant-172960.html,
Bait Al Khetyar Cafeteria,Najdah St,Abu Dhabi,,02-6333200,,https://www.yellowpages-uae.com/uae/restaurant/bait-al-khetyar-cafeteria-147961.html,
Bait Al Mandi Restaurant,Muraqabat,Dubai,,04-2629139,,https://www.yellowpages-uae.com/uae/restaurant/bait-al-mandi-restaurant-107990.html,
Bait Al Wakeel,"Near Bank Of Baroda, Bur Dubai",Dubai,3919,04-3534870,,https://www.yellowpages-uae.com/uae/restaurant/antalia-bait-al-wakeel-96359.html,
Bait Karachi and Delhi Biryani Restaurant,"Next to Mega Mall, Abu Shagara",Sharjah,,06-5734651,,https://www.yellowpages-uae.com/uae/restaurant/bait-karachi-and-delhi-biryani-restaurant-142767.html,
Baker Street,"G 08, Dubai Gate, JLT",Dubai,488183,04-3629392,,https://www.yellowpages-uae.com/uae/restaurant/baker-street-147695.html,
Bakhit Ahmed Bakhit Restaurant,,Dubai,,04-2711357,,https://www.yellowpages-uae.com/uae/restaurant/bakhit-ahmed-bakhit-restaurant-142371.html,
Balad Al Khayvat Restaurant,Near National Paints. Muwailah Rd,Sharjah,,06-5427605,,https://www.yellowpages-uae.com/uae/restaurant/balad-al-khayvat-restaurant-147329.html,
Baladna,,Abu Dhabi,,02-6446648,,https://www.yellowpages-uae.com/uae/restaurant/baladna-146013.html,
Bandar Bride Restaurant,"Murshid Bazar, Deira",Dubai,112675,04-2254443,,https://www.yellowpages-uae.com/uae/restaurant/bandar-bride-restaurant-132971.html,
Bandung Restaurant,Baharia St,Abu Dhabi,73843,02-6452008,,https://www.yellowpages-uae.com/uae/restaurant/bandung-restaurant-145479.html,
Bangkok Town Thai Restaurant,"Bhnd Al Massa Cinema, Buhairah Corniche",Sharjah,38616,06-5568282,,https://www.yellowpages-uae.com/uae/restaurant/sharjah-bangkok-town-thai-restaurant-122677.html,
Banglore Empire Restaurant LLC,Al Qusais,Dubai,,04-2611433,050-5042635,https://www.yellowpages-uae.com/uae/restaurant/banglore-empire-restaurant-llc-68515.html,
Barasti,"Le Meridian, Mina Seyahi",Dubai,,04-3993333,,https://www.yellowpages-uae.com/uae/restaurant/barasti-175797.html,
Barbar Neirut Restaurant & Cafe,Rigga,Dubai,,04-2999990,050-2090067,https://www.yellowpages-uae.com/uae/restaurant/barbar-neirut-restaurant-cafe-175340.html,
Barca Club,Palm Jumeirah,Dubai,,04-4393548,,https://www.yellowpages-uae.com/uae/restaurant/barca-club-152058.html,
Bareburger,Festival City,Dubai,,04-3387110,,https://www.yellowpages-uae.com/uae/restaurant/bareburger-175744.html,
Barouk Restaurant,Yas Island,Abu Dhabi,,02-6563000,,https://www.yellowpages-uae.com/uae/restaurant/barouk-restaurant-175673.html,
Barracuda Restaurant,"Beach Rd, Jumeirah 3",Dubai,,04-3940408,,https://www.yellowpages-uae.com/uae/restaurant/barracuda-restaurant-147107.html,
Barzat Tea Time Cafeteria,"Behind Adnoc Main Building, Salam Street",Abu Dhabi,,02-6261415,052-6795353,https://www.yellowpages-uae.com/uae/restaurant/barzat-tea-time-cafeteria-175525.html,
Bateaux Dubai,Jumeirah,Dubai,26500,04-3994994,,https://www.yellowpages-uae.com/uae/restaurant/bateaux-dubai-149388.html,
Bawabat Demashq Restaurant,Al Muraqabat St,Dubai,,600 544745,,https://www.yellowpages-uae.com/uae/restaurant/bawabat-demashq-restaurant-175333.html,
Bay Leaf (Indian Cuisine),"Bhnd Lulu, Al Barsha",Dubai,38404,04-3235265,,https://www.yellowpages-uae.com/uae/restaurant/bay-leaf-indian-cuisine--125437.html,
Bay Leaf Indian Coastal Cuisine,"Opp Lamcy Plaza, Oud Metha",Dubai,,04-3583962,,https://www.yellowpages-uae.com/uae/restaurant/bay-leaf-indian-coastal-cuisine-67654.html,
Bazerkan Lebanese Restaurant,,Dubai,,04-3397750,,https://www.yellowpages-uae.com/uae/restaurant/bazerkan-lebanese-restaurant-145637.html,
Bazxar,DIFC,Dubai,,04-3551111,,https://www.yellowpages-uae.com/uae/restaurant/bazxar-175798.html,
BBQ Al Qasr,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,,02-6907999,,https://www.yellowpages-uae.com/uae/restaurant/bbq-al-qasr-175733.html,
BBQ Tonight,Satwa,Dubai,,04-3425272,,https://www.yellowpages-uae.com/uae/restaurant/bbq-tonight-175745.html,
Beach House Restaurant,Saadiyat Island,Abu Dhabi,,02-4071234,,https://www.yellowpages-uae.com/uae/restaurant/beach-house-restaurant-175674.html,
Beauty Restaurant,Bidiya Area,Dibba,18128,09-2388563,,https://www.yellowpages-uae.com/uae/restaurant/beauty-restaurant-21840.html,
Beijing Chinese Restaurant,"Near Al Mamzar Centre, Abu Hail",Dubai,24365,04-3437674,055-5050865,https://www.yellowpages-uae.com/uae/restaurant/beijing-chinese-restaurant-175319.html,
Beiutna Restaurant & Cafe,Garhoud,Dubai,6433,04-2947744,,https://www.yellowpages-uae.com/uae/restaurant/beiutna-restaurant-cafe-162187.html,
Bel Mondo Cafe and Restaurant,Hamdan St,Abu Dhabi,47401,02-6763867,,https://www.yellowpages-uae.com/uae/restaurant/bel-mondo-cafe-and-restaurant-118412.html,
Beldian Cafe,"Inter Continental, Al Bateen",Abu Dhabi,,02-6666888,,https://www.yellowpages-uae.com/uae/restaurant/beldian-cafe-175675.html,
Belgian Beer Cafe,Souk Madinat,Dubai,,04-4470227,,https://www.yellowpages-uae.com/uae/restaurant/belgian-beer-cafe-175799.html,
Bengre Kamat Restaurant LLC,"Near Dolphin Hotel Apartments, Bur Dubai",Dubai,43261,04-3553611,,https://www.yellowpages-uae.com/uae/restaurant/bengre-kamat-restaurant-llc-172961.html,
Benjarong,"Dusit Thani Dubai, Sh zayed road",Dubai,,04-3080000,,https://www.yellowpages-uae.com/uae/restaurant/benjarong-67656.html,
Bently Bristo & Bar,"The Galleria, Al Maryah Island",Abu Dhabi,,02-6262131,,https://www.yellowpages-uae.com/uae/restaurant/bently-bristo-bar-175676.html,
Bentoya Kitchen,Sh Zayed Rd,Dubai,,04-3430222,,https://www.yellowpages-uae.com/uae/restaurant/bentoya-kitchen-147962.html,
Bertin,"Al Manara, Shk Zayed Road",Dubai,,04-3219239,,https://www.yellowpages-uae.com/uae/restaurant/bertin-175800.html,
Berts Cafe,The Greens,Dubai,,04-3619292,,https://www.yellowpages-uae.com/uae/restaurant/berts-cafe-175746.html,
Bhavana Restaurant,Electra St,Abu Dhabi,,02-6334342,,https://www.yellowpages-uae.com/uae/restaurant/bhavana-restaurant-145576.html,
Biancorosso,"Y Tower, Muroor Road, Al Nahyan",Abu Dhabi,40437,02-6584244,,https://www.yellowpages-uae.com/uae/restaurant/biancorosso-175609.html,
Big Bite Restaurant,Near Abu Shagara Park,Sharjah,,06-5595643,050-6982807,https://www.yellowpages-uae.com/uae/restaurant/big-bite-restaurant-175581.html,
Big Gate Restaurant & Cafeteria,"Nakheel Rd, Deira",Dubai,,04-2212215,056-2775657,https://www.yellowpages-uae.com/uae/restaurant/big-gate-restaurant-cafeteria-175217.html,
Big Smoke Burger,Al Wasl Road,Dubai,,04-3436533,,https://www.yellowpages-uae.com/uae/restaurant/big-smoke-burger-175625.html,
Bilad Al Rafidain Used Car LLC,,Sharjah,2560,06-5424667,,https://www.yellowpages-uae.com/uae/restaurant/bilad-al-rafidain-used-car-llc-148207.html,
Billionaire Mansion,"Taj Dubai, Business Bay",Dubai,,04-5103100,,https://www.yellowpages-uae.com/uae/restaurant/billionaire-mansion-175801.html,
Bin Hindi Restaurant,"R/A 8, Near Al Badia Rest, Jebel Ali Free Zone",Jebel Ali,17280,04-8836620,,https://www.yellowpages-uae.com/uae/restaurant/bin-hindi-restaurant-123544.html,
Biriyani House Restaurant,Ajman-Sharjah Rd,Sharjah,4551,06-7432136,,https://www.yellowpages-uae.com/uae/restaurant/biriyani-house-restaurant-138537.html,
Biriyani Hut Restaurant LLC,Madinat Zayed,Abu Dhabi,105329,02-6332112,,https://www.yellowpages-uae.com/uae/restaurant/biriyani-hut-restaurant-llc-145577.html,
Biriyani Pot,Jumeirah,Dubai,,04-3382277,,https://www.yellowpages-uae.com/uae/restaurant/biriyani-pot-175542.html,
Biryani Centre Restaurant,"Shabiya M 10, Musaffah",Abu Dhabi,,02-5550888,055-8585842,https://www.yellowpages-uae.com/uae/restaurant/biryani-centre-restaurant-173173.html,
Biryani Hut Restaurant LLC,"Fathima Bldg, Near Madina Mall, Muhaisnah",Dubai,,04-2344885,052-8833248,https://www.yellowpages-uae.com/uae/restaurant/biryani-hut-restaurant-llc-175276.html,
Biryani Times Restaurant,,Dubai,,04-2886658,052-4240324,https://www.yellowpages-uae.com/uae/restaurant/biryani-times-restaurant-175257.html,
Bisaya Restaurant,Qusais,Dubai,,04-3709588,050-4759339,https://www.yellowpages-uae.com/uae/restaurant/bisaya-restaurant-175271.html,
Bistro Des Arts,Dubai Marina,Dubai,,04-5511576,,https://www.yellowpages-uae.com/uae/restaurant/bistro-des-arts-175802.html,
BiteRite,Muroor Rd,Abu Dhabi,37005,02-6411660,,https://www.yellowpages-uae.com/uae/restaurant/biterite-105444.html,
Black Pearl (Al Raha Beach Hotel),,Abu Dhabi,,02-5080555,,https://www.yellowpages-uae.com/uae/restaurant/black-pearl-al-raha-beach-hotel--150704.html,
Black Tap,Madinat Jumeirah,Dubai,,04-4229904,,https://www.yellowpages-uae.com/uae/restaurant/black-tap-175804.html,
Blue City Restaurant,"Near Al Tayer Motors, Garhoud",Dubai,7135,04-2824800,,https://www.yellowpages-uae.com/uae/restaurant/blue-city-restaurant-130115.html,
Blue Dana Restaurant,Al Wahda St,Sharjah,22196,06-5531680,,https://www.yellowpages-uae.com/uae/restaurant/blue-dana-restaurant-133753.html,
Blue Jade,"The Ritz Carlton, JBR",Dubai,,04-3186150,,https://www.yellowpages-uae.com/uae/restaurant/blue-jade-175805.html,
Blue Marlin Ibiza UAE,"Golden Tulip Beach Resort, Ghantoot",Abu Dhabi,,056-1133400,,https://www.yellowpages-uae.com/uae/restaurant/blue-marlin-ibiza-uae-175677.html,
Blue Sea Refreshments,Near National Cinema,Abu Dhabi,,02-6780085,056-7101395,https://www.yellowpages-uae.com/uae/restaurant/blue-sea-refreshments-175531.html,
